CAN DOI KE TOAN	 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	 2007	 2006



KET QUA KINH DOANH	 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	 2007	 2006
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	1119579	979672	268064	245300	246664	221491	695812	222076	174452	166327	159273	348515	140047	78451	79345	66503	309014	87143	76263	86034	69082	281142	72746	64169	74965	71665	245689	77038	68366	56551	52607	172870	49680	34516	43376	51056	230557	62877	58387	70278	57919	225267	58942	58639	65159	54970	240816	64184	68411	61762	46459	202004	46140	39819	161595	161291
Các khoản giảm trừ doanh thu###Deduction revenues	22012	19897	5950	6127	3803	4018	2190	39	919	518	662	1188	0	0	0	0	0	0	0	0	0	80	0	0	0	80	0	0	0	0	0	17	56	60	12	0	0	0	0	0	0	10	0	0	0	10	11	0	0	0	11	233	73	137	172	332
Doanh thu thuần###Net Sales	1097567	959775	262114	239174	242861	217474	693622	222037	173532	165809	158610	347327	140047	78451	79345	66503	309014	87143	76263	86034	69082	281062	72746	64169	74965	71585	245689	77038	68366	56551	52607	172853	49624	34456	43363	51056	230557	62877	58387	70278	57919	225257	58942	58639	65159	54960	240805	64184	68411	61762	46448	201771	46067	39682	161423	160960
Giá vốn hàng bán###Cost of goods sold	960387	854202	238704	216691	216358	186591	600231	201990	145883	143490	131565	303909	124736	70595	68456	59947	275981	75422	66002	77924	61315	252849	66374	58437	67094	63135	215549	67734	60519	50376	45936	142618	41417	29877	33867	43134	188253	50396	47699	54763	48953	188706	51367	40182	57503	42797	200997	54027	56579	51797	38593	176234	41045	34717	141316	142504
Lợi nhuận gộp###Gross profit	137180	105574	23409	22483	26503	30883	93391	20047	27649	22320	27046	43419	15311	7856	10889	6556	33033	11721	10262	8110	7767	28213	6372	5732	7871	8450	30140	9304	7848	6175	6671	30235	8207	4579	9497	7921	42304	12481	10688	15516	8966	36551	7574	18457	7656	12163	39808	10156	11832	9965	7854	25536	5022	4965	20107	18455
Doanh thu hoạt động tài chính###Financial activities Revenues	26	32	30	8	11	5	400	48	377	12	8	45	52	8	13	15	119	51	3	106	5	194	51	36	34	116	127	217	18	78	30	55	9	5	11	29	291	8	11	104	136	934	52	34	302	241	181	79	69	27	5	215	24	22	17	13
