CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	 2006	 2005
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37638	8	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	-559335	-600729	-631829	-510698	-126848	45403	19639	19713	90400	63020	96204	830624	828043	851501	135944	132991	115019	132100	132100	-33785	364946	1918255	1428819	1942989	1883872	1383235	1276385	1250475	1302677	1003821	969709	948039	851319	863269	786708	783616	689327	793428	697197	702033	690618	688249	795409	728983	704721	703321	684920	809508	734310	715583	700128	692994	672602	681458	661343	673074	682338	668680	673247	669265	672301	673881	664579	664818	427973	425423	60888	10941
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	32	32	32	32	32	32	32	32	32	32	32	0	32	32	32	32	32	32	32	32	32	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-573	0	0	0	0	0	0	0	128	0	4107	4239	4412	3103	4223	1661	3755	3696	128	0	238	0	0	0	492
Vốn chủ sở hữu ###Owners equity	-559367	-600761	-631861	-510730	-126880	45371	19607	19681	90368	62989	96173	830624	828012	851469	135912	132959	114987	132068	132068	-33816	364915	1918255	1428787	1942989	1883872	1383235	1276385	1250475	1302677	1003821	969709	948039	851319	863269	786708	783616	689327	793428	697197	702033	690618	688249	795409	729556	704721	703321	684920	809508	734310	715583	700128	692866	672602	677351	657105	668662	679235	664457	671586	665510	668605	673753	664579	664579	427973	425423	60888	0
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92750	0	104211	103711	101682	93866	96271	101389	104558	104591	106304	105749	109650	111419	110330	110471	109844	105748	110237	111333	119946	118504	92950	88271	88074	87712	21395	22196	21232	21106	84816	21050	20737	20671	20616	20453	20863	20863	19570	17161	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3775563	3603955	3518037	3526748	3350658	3225537	3439765	3297738	3289234	3361721	3344080	3241258	3337028	3274401	3067418	0	2896014	2650607	2588896	2727273	2490365	2473599	2176303	2243383	1975317	1986224	2231210	1747452	1775125	1627852	1528193	1511933	1373331	1373331	0	0	331296	157170



KET QUA KINH DOANH	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	 2005
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	256257	720666	315481	122573	101432	198240	1045253	380533	333703	112013	202259	1363704	606829	243762	299617	212797	643945	263086	103193	221876	198931	2766743	802252	410701	619764	728513	1461989	724818	310653	174194	282763	1550346	345352	169430	490127	563728	2624712	428191	418879	520707	807134	3014879	1065661	531130	1407061	569092	2187583	897429	436018	529133	345750	1903486	616808	597430	286626	337791	693200	152352	150453	134579	244369	611276	208641	67741	173024	173104	326188	170198
Các khoản giảm trừ doanh thu###Deduction revenues	1034	128	0	0	71	21	304	0	0	304	0	305	53	0	-167	167	929	27	0	-111	0	1148	455	153	321	219	3256	1479	86	1471	2742	5035	1656	365	2205	809	4285	3080	154	530	494	15931	3651	3523	8755	182	19839	379	268	604	9205	1833	424	180	402	773	2854	73	1442	1352	99	8146	3843	2920	1286	47	1085	1756
Doanh thu thuần###Net Sales	255223	720538	315481	122573	101362	198218	1044950	380533	333703	111710	202259	1363399	606776	243762	299783	212630	643016	263059	103193	221987	198931	2765595	801797	410547	619442	728294	1458733	723339	310568	172724	280021	1545311	343696	169064	487922	562918	2620428	425112	418725	520177	806640	2998948	1062010	527608	1398305	568910	2167744	897050	435749	528530	336545	1901653	616384	597250	286224	337019	690346	152279	149011	133226	244270	603130	204798	64821	171738	173057	325103	168442
Giá vốn hàng bán###Cost of goods sold	231535	1266583	590041	237962	327485	137883	1458421	369524	493494	373491	136101	1087317	482381	169729	255621	154824	755911	289778	130154	1239846	176552	2513056	666382	279880	544786	630419	1182584	558923	234022	172164	210709	1240572	260469	112981	397131	489696	2285551	350454	341039	420034	716220	2636915	993072	439761	1195704	488687	1810979	787001	347599	424814	275103	1734784	569092	553501	255670	279854	511487	92292	114892	88605	201281	460312	151992	43716	138941	136986	263348	133344
Lợi nhuận gộp###Gross profit	23688	-546045	-274559	-115389	-226124	60335	-413472	11009	-159791	-261781	66158	276082	124394	74033	44163	57807	-112895	-26719	-26961	-1017859	22378	252539	135415	130667	74656	97876	276149	164416	76546	559	69313	304739	83227	56083	90791	73223	334877	74658	77686	100143	90421	362033	68937	87847	202601	80223	356765	110049	88150	103715	61442	166868	47291	43749	30555	57164	178859	59987	34118	44621	42988	142819	52806	21105	32797	36071	61755	35097
Doanh thu hoạt động tài chính###Financial activities Revenues	4852	21335	5052	4701	6953	4589	17572	2907	10977	3182	2626	6497	4694	1389	1957	1440	28512	3268	1047	17887	950	55312	8989	11876	3014	7196	16228	3771	5848	2000	3440	8920	2064	2621	2132	990	10202	1641	1958	3048	3451	82678	99330	4731	15798	7738	17039	7851	4756	3239	1221	15743	3009	1108	11228	1418	53770	40732	4325	7301	3396	20089	9960	2255	6085	769	193	166
Chi phí tài chính###Financial Expenses	28859	116318	29960	29219	28349	28275	106110	19931	41374	60492	36472	134375	8836	43214	64146	48921	274085	64922	81127	76592	64089	250301	30822	2461	-17801	40579	63495	54916	23139	-62418	47970	219173	54270	34338	69767	51264	240894	52663	41923	78119	59509	292146	98935	57814	142932	50648	192859	61411	44922	46430	28804	87757	17505	19824	22639	32632	131583	69430	23186	25743	12004	35518	14117	5069	8073	7351	12748	7711
Chi phí bán hàng###Selling Expenses	26453	89174	37050	17619	21376	21427	20638	7815	3916	5211	4084	12642	2876	3167	3062	3505	26571	6973	6995	5998	6401	22883	6497	4445	7040	4941	20439	7551	4374	5145	3348	12624	3203	3138	3636	3549	18436	6415	4587	3539	4997	27644	7611	7493	13152	7631	28603	10048	5909	5524	6369	21585	6608	5235	5458	4473	23097	8206	2614	4990	6796	22469	6349	3771	5667	6360	6858	7540
Chi phí quản lý doanh nghiệp###Managing Expenses	26783	137866	48869	20208	44026	19277	429987	-66316	-37302	411972	26554	119614	31667	24057	36765	22924	52968	33571	281029	62586	30023	287162	27707	25156	29791	21178	103773	26442	20974	28610	18982	77591	20886	17540	18892	17189	89048	21548	17996	20462	25032	109124	31198	26412	47094	22138	95865	24513	21806	18980	21322	55354	14846	13884	12742	17411	57853	16932	11169	13425	14192	50566	15016	12132	11187	10532	26827	15302
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-55552	-888715	-384365	-177065	-315295	-1868	-950176	52386	-156926	-734781	3782	17025	85849	4601	-55878	-15624	-441896	-127435	-395400	-1145115	-77591	-255350	78470	110292	58644	37692	102562	78518	33316	30465	2204	4271	6932	3687	628	2211	-4518	-4327	15139	1071	4333	15415	30524	858	15219	7544	56349	21927	20270	36020	6168	17916	11341	5913	943	4067	20096	6152	1474	7764	13391	54354	27285	2389	13956	12598	15515	4711
Thu nhập khác###Other incomes	58415	20480	3340	1436	156	2785	156648	25915	127391	1115	1614	9064	-62772	1116	88101	2216	42198	8898	3253	2942	16591	229991	1524	8387	86423	2076	7462	2139	5062	-801	3583	21620	3730	2938	6286	3490	37722	5920	4661	5420	10710	27496	27077	3283	3127	34816	5588	1157	795	1316	1134	12645	3030	4393	4296	978	5042	1972	767	1702	555	4412	-98	1018	210	583	604	643
