CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	 2013	Q4 2013	 2012	Q4 2012	 2011
Chi phí tài chính###Financial Expenses	-50644	138447	693201	227444	159639	210420	187714	690573	148268	231017	237600	163846	854439	193929	186373	239775	184167	779119	222297	277779	274218	154315	383460	131212	131857	108303	82164	269882	74034	88408	45	237400	11120	2707
Chi phí bán hàng###Selling Expenses	119123	71560	303246	74011	89837	100956	37234	149378	42022	42256	40063	25038	93272	35479	19112	22352	15809	88270	22907	17901	26367	18324	72904	20780	36514	7980	6241	15753	5801	5435	1	14004	5535	2847
Chi phí quản lý doanh nghiệp###Managing Expenses	49044	56370	466928	36157	104095	176152	136380	684977	220511	152096	216206	105299	585189	133567	132594	185513	72149	306169	82616	40172	61803	33508	120958	23391	27116	44707	23915	87275	17968	21623	15	57169	30951	19323
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	1736	27127	-967241	-360065	-148050	-351319	-247356	115623	-171753	193859	74656	121137	668275	58368	115611	1032551	-28422	-411812	-139210	-172987	-191722	87139	823433	-88709	382701	550635	108290	692929	170713	158507	337	680650	1502	26241
Thu nhập khác###Other incomes	27757	1764	229852	8824	6511	15953	198112	20711	2350	7218	2875	10327	245098	61857	112906	33004	45476	146891	67435	70402	816	29419	2233	1194	4382	-1252	1692	349608	282	79497	5	22892	23572	4246
Chi phí khác###Other Expenses	21024	25952	1637699	223620	838567	312951	40992	762097	176268	419920	44937	103548	472118	170291	117342	35257	6961	712609	236679	21894	489164	8288	110613	63127	5190	41661	2714	272028	128	-4636	5	24602	23059	3598
Lợi nhuận khác###Other profits	6733	-24188	-1407847	-214796	-832056	-296998	157121	-741386	-173917	-412702	-42062	-93221	-227020	-108434	-4436	-2253	38515	-565718	-169244	48507	-488348	21132	-108379	-61933	-808	-42913	-1022	77580	154	84133	0	-1710	513	648
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	8469	2940	-2375088	-574861	-980106	-648317	-90235	-625763	-345671	-218843	32594	27916	441255	-50067	111175	1030298	10093	-977531	-308454	-124479	-680070	108271	715053	-150642	381893	507722	107268	770510	170867	242640	337	678940	2015	26889
Chi phí thuế TNDN###Corporate Income Tax Expenses	1335	88	69314	8957	9757	4248	8765	30351	8364	8695	668	6408	-89208	7017	-3525	27220	16	42578	-5670	2780	-25408	13095	-28955	-37596	-12387	12158	1195	11434	-4466	16719	-1	-6386	-817	6266
Chi phí thuế TNDN###Corporate Income Tax Expenses	233	88	796	260	148	77	310	-4148	321	2115	-4632	0	23890	2065	-2211	24276	16	2770	-65	-1396	-253	840	3049	-27994	8813	21969	99	23035	515	21518	-1	1572	1217	9956
Chi phí thuế TNDN###Corporate Income Tax Expenses	1102	0	68518	8697	9609	4171	8455	34499	8043	6580	5300	6408	-113098	4952	-1314	2943	0	39808	-5605	4176	-25156	12256	-32004	-9602	-21200	-9811	1096	-11601	-4981	-4799	-1	-7957	-2035	-3690
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	4975	3898	-2462884	-584190	-998541	-659371	-99853	-653080	-355081	-230287	31926	22601	533487	-66324	116912	998796	12995	-1055354	-302784	-127260	-654662	95176	763425	-113046	394280	495564	106073	759462	175332	225921	338	685326	2832	20623
---Cac Chi So Tai Chinh---																																		
EBITDA	0.29	0.14	-0.12	-0.12	0.43	0.43	0.66	0.91	0.91	0.63	0.79	1.09	0.88	0.88	2.52	3.47	2.39	1.85	1.85	1.45	0.85	0.72	0.91	0.91	1.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	15.30	12.20	13.90	13.90	15.15	17.10	15.55	16.00	16.00	17.15	10.20	8.85	9.56	9.56	9.70	10.75	11.60	6.20	6.20	5.60	8.10	8.00	28.80	28.80	28.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
