CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	 2006	 2005
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	289	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	599980	603954	600433	599541	610669	604250	600131	596865	598128	605088	599608	596806	594264	594568	598884	600978	597733	516679	519400	528634	521581	513196	510035	513751	519293	504457	501132	508941	513057	517289	455512	443809	446772	447663	441653	429683	441399	428768	444582	444796	442550	443048	442788	443812	429666	447234	432599	432084	432649	398303	394723	372137	363229	217459	198578	190669	186737	186215	188251	175090	171729	169800	167266	70473	0
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	637484	606651	599898	600454	618565	625293	603614	597453	617345	665562	656166	650552	623594	632591	617984	0	607684	613348	608721	575081	600155	552391	520006	344450	305422	295835	284024	268992	268776	243578	243848	231810	239346	165954	140619



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	 2006	 2005
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	126196	103855	544950	84293	154624	187051	118982	424247	66614	121434	150159	92432	379770	59734	115573	138050	66414	365161	30633	108474	149951	76103	355274	40887	123970	124618	65799	346830	41307	120099	137989	47223	338397	69516	119453	107855	41571	349395	61968	99974	113211	74243	363540	103824	79257	117834	65840	405164	129501	96635	110269	41702	189933	81268	49050	39385	20229	170718	65936	48108	35169	21504	131133	85437	80185
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	120	120	0	0	0	9	0	9	0	0	1	0	0	1	0	715	41	0	647	27	159	69	52	2	36	303	22	72	109	99	1114	723	34	272	84	1322	450	553	113	381	2052	1227	124	298	61	468	78	238	2	150	518	232	244	42	0	1009	583	426	0	0	7	0	97
Doanh thu thuần###Net Sales	126196	103855	544830	84173	154624	187051	118982	424238	66614	121425	150159	92432	379769	59734	115573	138048	66414	364446	30592	108474	149304	76076	355115	40818	123918	124616	65762	346527	41285	120026	137880	47124	337283	68793	119419	107583	41487	348073	61518	99420	113098	73861	361487	102597	79133	117536	65779	404696	129422	96397	110267	41552	189415	81037	48806	39343	20229	169709	65353	47683	35169	21504	131126	85437	80088
Giá vốn hàng bán###Cost of goods sold	114599	85322	470749	77767	127573	168125	98126	353278	57181	102041	124320	75153	300923	45749	89920	113168	52193	294774	30172	86521	116186	61495	276392	32954	92097	90709	61349	278749	38586	98120	104301	38078	270986	57525	98292	82024	33483	279614	44979	78554	94665	59527	294661	100111	59344	92258	50601	292064	71610	80392	91200	33873	123134	45249	33721	30900	13183	125877	46489	36768	27871	14475	92495	69544	68270
Lợi nhuận gộp###Gross profit	11597	18533	74081	6405	27051	18925	20856	70960	9433	19384	25839	17279	78846	13985	25653	24880	14220	69672	420	21953	33118	14580	78722	7864	31821	33907	4413	67778	2698	21907	33579	9046	66297	11268	21127	25560	8005	68459	16539	20867	18433	14334	66827	2487	19789	25278	15178	112633	57812	16005	19067	7679	66281	35787	15086	8443	7046	43832	18864	10915	7298	7029	38631	15893	11819
Doanh thu hoạt động tài chính###Financial activities Revenues	935	279	1645	888	4	604	123	1908	1139	129	577	64	1047	154	446	414	74	1961	1685	-88	589	75	3236	2031	408	779	4	2664	1081	-152	1473	26	2534	616	130	1760	53	8514	21	102	195	73	13887	9836	110	9287	377	9868	1985	1159	6173	3815	9713	1939	1558	6747	172	1176	8944	543	372	64	774	222	254
Chi phí tài chính###Financial Expenses	4626	4820	15552	5273	3383	4159	3047	13358	5118	2287	3544	2409	10367	2823	2409	2951	2247	8494	2740	1779	2130	1603	9178	2347	2312	2586	1591	9470	2031	1833	3175	1959	12487	2682	2748	4193	2873	25668	4138	4184	5243	3935	23466	11256	5201	7542	3500	23904	4504	5337	6235	3702	16349	4205	2927	3654	2066	13531	6889	3121	2004	1067	5435	4901	3043
Chi phí bán hàng###Selling Expenses	6337	5343	32622	6519	9341	10121	6552	23855	4887	6706	6887	5375	23557	4852	7091	7307	4330	20833	3617	5969	7719	3528	21760	3241	7256	6497	4662	22547	4059	7225	7052	3918	22354	4518	7092	6912	3832	23200	4579	7566	6135	4878	26265	6400	6361	7842	5982	23833	6971	7283	6091	3879	8207	2468	2403	1904	1431	6373	1107	2432	1634	1199	5274	4157	2261
Chi phí quản lý doanh nghiệp###Managing Expenses	5949	5354	24871	8136	8401	969	7359	31305	9464	7323	7592	6833	35800	9823	9990	8595	7139	30589	5567	6970	9227	6516	33574	9699	7171	9807	6074	31838	7068	6524	10147	5840	5880	8723	6434	8498	5290	49737	8030	5634	5891	5328	27580	4285	5008	8611	5547	23857	2606	4165	6433	3314	14651	3637	2828	5434	2294	8697	2040	1966	1899	1822	5779	4831	6203
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-4380	3296	2680	-12635	5930	4279	4022	4350	-8897	3197	8392	2725	10169	-3358	6608	6442	578	11717	-9819	7147	14631	3008	17446	-5391	15489	15796	-7910	6586	-9378	6172	14678	-2645	28109	-4039	4983	7718	-3937	-21631	-188	3585	1360	266	3403	-9617	3329	10570	526	50907	45716	380	6481	599	36789	27417	8485	4197	1428	16406	17772	3939	2133	3004	22916	2226	567
Thu nhập khác###Other incomes	1747	1667	7554	2393	1038	4562	26	3759	1239	2339	8	320	2749	714	718	659	657	3323	1490	834	806	193	571	105	19	299	145	8791	2037	138	7832	219	648	13996	10095	13	0	1518	244	134	4	7	8737	6955	13	1380	3	496	163	6	22	1	195	60	27	13	96	24	3	4	11	6	1114	4202	4458
Chi phí khác###Other Expenses	-227	1442	2218	909	548	512	614	708	223	55	219	29	776	153	1	238	181	3679	146	928	2491	39	3161	255	673	2093	40	6753	1234	536	4735	538	2193	98	48	1143	832	1158	265	346	32	13	4026	547	76	1161	14	549	288	45	67	135	791	544	8	74	165	209	202	4	1	1	922	660	4194
Lợi nhuận khác###Other profits	1974	225	5336	1483	490	4050	-587	3051	1016	2284	-212	291	1973	562	717	421	475	-356	1345	-94	-1685	154	-2590	-150	-653	-1795	105	2038	803	-398	3097	-318	-1545	13898	10047	-1130	-832	360	-22	-212	-27	-6	4711	6408	-64	220	-11	-53	-125	-39	-45	-134	-596	-485	19	-61	-70	-185	-199	0	10	4	192	3541	264
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	-2406	3521	8016	-11152	6420	8330	3435	7401	-7881	5480	8181	3017	12142	-2796	7325	6863	1054	11361	-8474	7053	12946	3162	14856	-5541	14836	14001	-7804	8625	-8575	5774	17776	-2963	26564	9859	15030	6588	-4768	-21271	-209	3373	1332	260	8115	-3209	9001	10790	515	50854	45591	341	6436	466	36192	26932	8504	4136	1358	16221	17572	3939	2143	3009	23108	5767	831
Chi phí thuế TNDN###Corporate Income Tax Expenses	928	0	3780	-23	0	3522	0	3643	-921	0	3289	475	4167	1520	0	2538	0	4165	760	0	4010	0	12938	0	0	9852	5	4117	-633	0	3785	0	7290	3887	3060	0	0	-7181	0	0	0	0	4178	-1083	0	1913	0	14404	11245	127	-570	118	6712	8051	595	467	95	1404	1027	578	214	0	2232	0	8187
Chi phí thuế TNDN###Corporate Income Tax Expenses	928	0	3780	-23	0	3522	0	3643	-921	0	3289	475	4167	1520	0	2538	0	4165	760	0	4010	0	5687	0	0	2606	0	4358	-633	0	3949	0	3954	1185	933	990	0	1184	5	1127	509	0	1765	-628	0	2263	0	15040	11245	127	2699	118	8147	8051	595	203	95	1404	1027	578	214	301	2232	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7251	0	0	7246	5	-241	0	0	-164	0	3337	2702	2127	-1394	0	-8365	0	0	0	0	2412	-455	0	0	0	-636	0	0	0	0	-1435	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	-3335	3521	4236	-11129	6420	4808	3435	3758	-6960	5480	4892	2541	7975	-4316	7325	4325	1054	7196	-9234	7053	8937	3162	1918	-5541	14836	4150	-7809	4507	-7942	5774	13991	-2963	19274	5972	11970	6991	-4768	-14090	-214	2246	823	260	3937	-2126	3266	8527	515	36450	34346	214	3737	348	29481	18881	7909	3932	1263	14817	16545	3361	1929	2708	20876	0	-7356
---Cac Chi So Tai Chinh---																																																																	
EBITDA	0.38	0.46	-0.48	-0.48	-0.04	0.15	0.07	0.26	0.26	0.24	0.17	0.42	0.12	0.12	0.25	0.62	0.20	0.43	0.43	0.44	0.51	1.18	1.13	1.13	1.14	1.74	1.63	1.54	1.54	1.56	1.12	0.01	0.14	0.14	0.65	1.02	1.03	1.05	1.05	1.13	1.04	0.88	0.90	0.90	1.09	1.20	1.59	1.70	1.70	1.23	0.97	1.12	0.96	0.96	0.96	0.71	0.15	0.11	0.11	-0.23	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	2.29	2.05	2.84	2.84	2.50	2.91	2.92	3.29	3.29	3.42	3.80	4.10	4.30	4.30	4.20	4.45	4.60	4.93	4.93	5.45	5.90	4.40	4.50	4.50	4.60	5.20	5.36	6.45	6.45	6.27	5.19	6.81	5.50	5.50	2.09	1.70	2.40	2.40	2.40	2.24	3.10	2.56	2.19	2.19	3.65	3.80	4.45	5.92	5.92	6.65	8.40	8.12	7.94	7.94	8.49	6.49	4.30	3.39	3.39	7.15	29.09	0.00	0.00	0.00	0.00
