CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	 2017	Q4 2017	Q3 2017	Q2 2017	 2016	 2015	 2014	 2013	 2012
Chi phí quản lý doanh nghiệp###Managing Expenses	51711	26288	705623	222802	32490	39168	414068	601532	357959	98074	438599	82283	99520	457479	311549	331351	346253	415145
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	9586	4451	-174149	-20078	10740	-209469	52338	-152856	-266135	67635	331827	35882	143191	110034	174264	19916	25356	60913
Thu nhập khác###Other incomes	708	214	44400	27806	7722	5830	3044	37867	26659	904	57753	10591	12963	75227	115643	371068	84240	58533
Chi phí khác###Other Expenses	397	317	4030	645	248	1887	1251	27437	16513	3185	35832	-12697	22273	26539	32665	207595	65266	48642
Lợi nhuận khác###Other profits	311	-103	40370	27161	7473	3943	1793	10429	10146	-2281	21921	23288	-9310	48688	82979	163473	18974	9892
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	9897	4348	-133780	7082	18214	-205526	54131	-142427	-255989	65353	353748	59170	133882	158721	257242	195456	45604	75303
Chi phí thuế TNDN###Corporate Income Tax Expenses	3306	125	-47629	1320	1715	-100007	47492	39546	5925	9574	86212	25755	21286	42445	37760	33075	35341	30250
Chi phí thuế TNDN###Corporate Income Tax Expenses	3360	125	24569	2322	1715	9017	11994	38399	24201	9574	26772	7143	6328	32245	37850	35127	34431	31568
Chi phí thuế TNDN###Corporate Income Tax Expenses	-54	0	-72197	-1002	0	-109023	35498	1147	-18276	0	59440	18612	14958	10200	-90	-2052	910	-1318
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	-2560	-8796	-87908	8998	16588	-112324	11519	-200827	-285244	55779	286237	33266	112596	165900	277436	187963	34700	45053
---Cac Chi So Tai Chinh---																		
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	16.30	17.80	21.80	21.80	20.38	19.50	21.36	18.52	18.52	18.29	12.86	12.86	10.26	0.00	0.00	0.00	0.00	0.00
