CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q2 2006	Q1 2006	 2005
KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q2 2006	Q1 2006	 2005
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	298345	312160	1428206	535678	331338	287049	274142	1234685	438216	304856	266400	259580	1211539	433313	256498	288754	232975	1058636	381560	225460	251616	200000	1012732	358964	200131	234706	218932	907338	314473	218422	199657	174788	852756	241323	202922	223413	186091	819691	255999	201611	187627	174453	777098	777098	168271	186027	177266	766505	242745	207550	152040	164170	663516	194221	156037	169052	144206	569023	174034	112447	150262	132280	454426	117254	106534	125009	105629	527284	115027	95108	93830	223319	339165
Các khoản giảm trừ doanh thu###Deduction revenues	9644	8473	25752	19605	3788	1376	983	49867	29180	8280	6023	6384	46084	18701	5800	12933	8649	48290	15549	10231	15215	7295	48414	23712	16280	7495	926	10203	8454	804	898	47	11440	6143	1499	3556	242	1570	129	705	268	468	733	733	257	95	298	2511	767	1113	365	266	3439	228	951	1024	1237	7178	1599	1906	1986	1688	2823	742	1111	359	611	1877	545	886	190	258	1830
Doanh thu thuần###Net Sales	288702	303687	1402454	516073	327549	285673	273159	1184818	409036	296576	260376	253196	1165456	414611	250698	275821	224325	1010346	366011	215229	236401	192705	964319	335252	183851	227211	218006	897136	306018	217618	198759	174741	841316	235180	201423	219857	185849	818122	255871	200906	187359	173986	776365	776365	168014	185932	176968	763995	241978	206437	151675	163904	660076	193993	155086	168028	142969	561844	172435	110541	148276	130592	451602	116512	105423	124650	105017	525406	114483	94222	93640	223061	337334
Giá vốn hàng bán###Cost of goods sold	181637	176331	874535	327060	206593	182238	158644	715187	268157	178091	154651	148655	728635	270542	150179	154432	132328	605293	218271	123531	140040	123451	581059	212660	119813	141622	107776	478269	169866	114768	102360	93315	451468	129976	111123	113831	96165	440517	149757	107932	98986	83842	388430	388430	83608	90369	86168	411098	135424	115981	77273	82419	366643	109029	85763	91386	80465	319809	101978	57272	84870	75689	258572	65869	61002	71398	60304	367260	69995	57542	55221	184503	217981
Lợi nhuận gộp###Gross profit	107064	127356	527920	189013	120957	103435	114515	469630	140880	118484	105725	104541	436821	144069	100519	121389	91997	405053	147740	91698	96361	69254	383260	122592	64037	85589	110229	418867	136152	102849	96399	81426	389848	105204	90300	106026	89685	377604	106114	92974	88373	90143	387935	387935	84406	95562	90800	352896	106554	90456	74402	81486	293433	84964	69323	76642	62504	242036	70457	53269	63406	54903	193030	50643	44421	53252	44714	158146	44488	36680	38419	38559	119354
Doanh thu hoạt động tài chính###Financial activities Revenues	1544	519	10079	1020	4733	2027	2304	18888	13129	923	2581	2255	18493	6043	2557	9533	360	9096	2258	703	3754	2382	17837	4528	1076	10702	1531	9561	2477	2903	2644	1537	6207	3215	1376	1786	827	11727	4501	2231	3671	1324	12941	12941	3459	4788	3152	10140	1969	1110	3699	3375	11246	6772	1750	1481	1222	16988	6066	4786	4397	1739	6895	1242	1074	2249	1967	1430	421	560	240	209	791
Chi phí tài chính###Financial Expenses	3381	4508	18694	7931	4614	3616	2539	17599	7815	3198	1323	5263	13985	4242	3293	3680	2770	12236	4529	2263	3025	2419	15231	4507	3214	5714	1796	8257	743	2639	2694	1870	7724	239	1526	3415	2381	7550	5505	-2462	3804	703	7178	7216	2605	3247	2566	8029	1350	1293	3637	1749	9685	1459	4161	900	3168	13913	7350	1908	4505	150	2269	1325	312	1381	325	3757	588	351	639	2180	8957
Chi phí bán hàng###Selling Expenses	32072	53456	225125	70670	58420	43909	52126	212134	59321	55556	50516	46741	210067	76200	49652	62936	42433	203874	68269	46128	58879	30598	193150	61516	27194	41780	62660	244363	85087	62356	55673	41948	227617	65401	53301	60443	52591	215485	62503	53552	48847	50583	234582	234582	48000	57016	52875	220270	70852	52405	43092	53921	181877	61891	31599	52285	35429	145012	42245	34492	38640	29635	113380	29207	23246	30960	29750	98699	27663	25025	22820	23192	73246
Chi phí quản lý doanh nghiệp###Managing Expenses	16543	18568	99753	46548	18602	17057	17545	88184	38525	16521	17684	15454	85505	36211	13510	21612	14172	71263	30941	14915	13618	11789	72789	32651	11783	14645	13710	64640	28091	12607	11961	9941	62690	26491	9866	13860	9488	61197	25956	14309	10807	10124	48098	48098	8985	13273	11570	35441	13446	9235	5785	6973	29965	5900	12209	5566	7037	24969	7237	3810	6332	7945	21930	10246	4157	4516	3010	12813	3949	3480	2181	2969	8036
