CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006
Doanh thu hoạt động tài chính###Financial activities Revenues	374	1	788	326	3	264	172	2660	2313	122	62	163	363	56	58	245	4	972	192	137	344	299	681	34	2036	144	407	4981	4624	14	10	232	2707	1399	1511	10	11	152	63	14	46	29	551	301	161	51	55	1493	317	657	92	427	1251	507	134	425	117	867	295	312	143	113	591	119	295	25	16	940	0
Chi phí tài chính###Financial Expenses	909	250	929	246	244	216	149	633	135	138	217	171	272	115	22	1	61	173	41	44	-14	102	4928	126	250	821	182	3491	2531	259	409	276	1227	310	230	490	198	2040	453	257	1123	207	1827	433	406	589	400	1190	350	358	314	168	102	14	12	33	42	947	215	255	389	87	1682	159	802	268	452	1242	18
Chi phí bán hàng###Selling Expenses	16	18	62	15	17	15	15	70	16	16	17	20	74	19	19	22	13	55	16	15	21	11	179	60	46	45	27	200	41	49	76	35	166	102	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chi phí quản lý doanh nghiệp###Managing Expenses	1819	2063	10783	2796	2583	2977	2456	13433	5872	1955	2653	2953	10440	3212	2172	2469	2013	12648	3334	3217	3294	2792	17098	3394	5531	4433	2807	23051	11588	3461	5798	2222	22385	10707	3403	5297	2658	10092	3892	1749	1467	1993	11182	3475	2227	3209	2351	14046	3633	2809	3841	3600	12306	4367	2341	3644	1974	13605	3771	3597	3835	2101	12753	2354	3811	5567	879	6815	2083
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-244	486	2404	964	-119	996	568	4208	1377	29	1576	1221	6356	1901	2242	1750	1087	5011	1103	1759	1314	851	3169	2482	2207	3194	1824	8753	2555	2025	2548	1358	986	-817	1629	-1154	1818	3321	-875	1068	2227	994	7376	2419	1471	2210	1281	12174	2960	2931	3279	3004	11175	2541	2733	3856	1954	8100	1904	3253	1732	1615	8339	2885	2565	4893	594	6352	2022
Thu nhập khác###Other incomes	11	8	378	27	197	34	120	507	451	257	4	1096	933	241	79	12	13	108	50	0	55	2	704	45	301	351	19	897	89	13	5	790	5564	2663	32	2316	4	5468	5428	3	25	12	4774	4754	12	5	4	69	55	4	6	4	71	40	2	3	20	3162	50	8	1918	33	150	109	11	0	0	412	1
Chi phí khác###Other Expenses	1	4	168	2	15	128	23	221	0	0	35	1487	1912	766	631	474	317	735	230	156	233	116	889	253	168	309	160	1275	340	376	91	468	2242	967	580	668	0	2619	2009	128	398	84	4742	4625	17	100	0	500	263	135	74	29	141	64	0	66	12	1067	41	0	904	0	1	1	0	0	0	0	0
Lợi nhuận khác###Other profits	10	4	209	25	182	-94	97	286	451	257	-31	-391	-979	-525	-552	-462	-304	-627	-179	-156	-177	-114	-185	-208	133	42	-141	-378	-251	-363	-85	322	3322	1696	-549	1648	4	2849	3419	-125	-373	-72	32	129	-5	-95	4	-431	-207	-131	-68	-25	-70	-24	2	-63	8	2095	9	8	1014	33	149	107	11	0	0	412	0
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	-234	490	2614	989	63	902	665	4494	1828	286	1545	830	5377	1375	1690	1288	784	4383	924	1603	1137	737	2984	2273	2340	3236	1683	8375	2304	1662	2462	1680	5828	2723	1164	101	1821	6170	2544	943	1854	922	7408	2547	1465	2115	1285	11743	2752	2800	3211	2979	11105	2517	2735	3793	1962	10195	1913	3261	2745	1648	8488	2992	2577	4893	594	6764	2023
Chi phí thuế TNDN###Corporate Income Tax Expenses	-47	98	638	211	0	285	137	886	364	35	310	176	1770	411	476	357	213	856	188	260	161	115	1846	271	330	759	274	961	48	347	243	314	1691	466	399	347	0	2252	0	0	0	275	1770	570	352	528	321	2837	688	602	803	745	1336	288	342	428	275	1427	268	456	372	230	1169	0	0	772	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	-47	98	638	211	0	285	137	886	364	35	310	176	1770	411	476	357	213	919	251	323	224	115	1153	271	330	269	274	961	48	347	243	314	1691	466	399	347	479	2252	1332	297	449	275	1770	570	352	528	321	2837	688	602	803	745	1336	288	342	428	275	1427	268	456	372	231	1169	0	0	773	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-63	-63	-63	-63	0	693	0	0	490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	-186	391	1989	781	71	618	528	3593	1474	243	1235	-3	3546	-14	-10	-26	-11	3529	736	1343	975	622	1112	2003	2011	2477	1409	6727	2257	1315	2219	1366	4138	2257	765	-246	1342	3917	1213	646	1405	647	5638	1977	1113	1587	964	8905	2064	2199	2408	2234	9769	2229	2393	3365	1687	8768	1645	2804	2373	1417	7319	2992	2577	4121	594	6764	2023
---Cac Chi So Tai Chinh---																																																																					
EBITDA	0.24	0.26	-0.36	-0.36	-0.16	-0.34	-0.13	-0.06	-0.06	-0.07	-0.01	-0.18	-0.20	-0.20	-0.25	0.50	1.87	2.50	2.50	2.72	1.02	0.25	-0.01	-0.01	-0.01	-0.14	0.06	0.09	0.09	0.04	0.25	0.14	0.02	0.02	-0.12	0.19	0.35	0.69	0.69	0.76	0.82	0.93	0.63	0.63	0.58	0.57	0.56	0.82	0.82	1.16	1.02	1.04	1.00	1.00	0.94	1.01	1.05	1.16	1.16	1.33	1.33	1.08	-0.01	-0.01	-0.08	-0.10	-0.07	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	16.20	13.50	16.50	16.50	16.50	15.40	16.50	12.50	12.50	12.50	12.87	13.33	12.50	12.50	12.50	11.29	12.50	12.50	12.50	12.50	12.58	8.06	9.76	9.76	10.48	11.21	11.21	8.97	8.97	10.18	9.68	8.19	4.56	4.56	4.00	4.49	3.56	4.11	4.11	4.11	5.47	5.09	5.15	5.15	7.53	6.08	6.89	7.37	7.37	8.95	10.49	10.26	10.87	10.87	11.54	7.61	6.26	5.84	5.84	8.31	7.51	10.52	34.63	34.63	18.25	12.54	18.66	8.98	8.98
