CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	 2009	Q4 2009	 2008	 2007
Chi phí quản lý doanh nghiệp###Managing Expenses	2998	5586	19028	6800	4759	3617	3850	16237	4224	4835	3050	4029	9843	-1569	2946	3935	4872	22960	8784	2991	6149	4557	59205	37100	5030	7127	5186	18944	4753	4389	5589	4196	21707	5826	4667	4533	6572	19194	5715	3887	5593	4053	25181	9341	5022	5407	4902	23136	7823	5101	6430	3809	20347	6083	11847
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	6300	6055	25759	9100	6890	6072	4221	29839	7774	8108	7835	6299	34525	15565	6250	7645	4894	30087	16803	7189	2642	4454	67724	12467	3028	42051	3959	17746	10238	4417	2348	759	4606	1292	1581	1683	151	11188	4316	-391	7570	-307	44922	40382	122	3180	2685	26957	8806	5848	9108	3195	26161	9014	18575
Thu nhập khác###Other incomes	30	1	5040	3529	135	499	834	472	10	270	75	117	647	270	0	393	87	1733	422	108	1141	24	1241	261	155	260	565	1937	585	287	914	27	1376	23	62	337	385	1342	105	27	1102	0	1268	321	9	46	115	1627	376	1251	-43	43	1824	903	2294
Chi phí khác###Other Expenses	0	0	507	302	1	166	39	199	39	17	24	119	1735	244	35	146	391	1307	868	32	228	28	11122	3635	311	6206	969	516	245	53	2	30	391	-27	76	311	8	151	9	6	-25	0	3165	2830	0	198	11	928	60	757	594	0	630	326	1675
Lợi nhuận khác###Other profits	30	1	4532	3227	134	333	795	273	-29	253	51	-2	-1088	26	-35	247	-304	427	-446	77	913	-4	-9881	-3374	-156	-5947	-404	1421	340	233	912	-3	985	50	-14	26	376	1191	95	22	1127	0	-1897	-2509	9	-152	104	699	316	494	-637	43	1195	577	619
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	6330	6056	30291	12328	7024	6405	5017	30112	7746	8361	7886	6297	33436	15590	6215	7892	4590	30514	16358	7266	3555	4450	57843	9094	2871	36104	3555	19167	10578	4650	3260	756	5590	1342	1566	1709	527	12379	4412	-369	8697	-307	43025	37873	131	3028	2789	27656	9122	6343	8471	3238	27356	9591	19194
Chi phí thuế TNDN###Corporate Income Tax Expenses	1621	1465	7287	2771	1839	1738	1198	7948	2035	2180	2054	1677	2427	-682	1288	1882	1090	12	1	1	0	0	27923	2987	777	8341	1014	5130	2712	1264	709	461	2218	503	644	0	0	3956	0	0	0	132	11807	9710	256	1012	913	8384	2497	1782	2489	1006	5395	1875	4652
Chi phí thuế TNDN###Corporate Income Tax Expenses	1615	1437	7467	2751	2046	1734	1195	7828	2031	2175	1954	1677	2792	-454	1288	2019	1090	12	1	1	0	0	27923	2987	777	8341	1014	5130	2712	1264	709	461	2218	503	644	577	382	3956	821	240	2393	132	11807	9710	256	971	913	8384	2489	1782	2496	1006	5395	1875	4652
Chi phí thuế TNDN###Corporate Income Tax Expenses	6	28	-180	21	-207	3	3	120	3	6	99	0	-365	-229	0	-137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	-7	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	4678	4474	22298	9410	4971	4483	3653	21232	5447	5913	5832	4427	31013	16274	4928	6009	3503	30424	16356	7265	3554	4450	29827	6107	2094	27764	2541	13950	7867	3386	2551	295	3373	839	922	1131	145	8424	3591	-609	6304	-439	31218	28163	-125	2057	1877	19273	6625	4561	5982	2233	21961	7716	14542
---Cac Chi So Tai Chinh---																																																							
EBITDA	-0.06	-0.01	-0.37	-0.37	0.03	-0.39	0.15	0.22	0.22	-0.05	0.14	-0.42	-0.40	-0.40	-0.03	0.03	0.30	0.24	0.24	0.60	0.20	0.21	0.05	0.05	-0.08	0.11	0.17	0.44	0.44	0.48	0.20	0.18	-0.23	-0.23	0.02	0.19	0.08	0.69	0.69	0.74	0.72	0.74	0.19	0.19	0.15	-0.10	-0.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	22.60	20.15	22.08	22.08	22.40	26.57	25.33	22.75	22.75	25.28	20.17	15.57	11.78	11.78	12.50	12.42	10.47	9.23	9.23	7.80	9.23	10.08	9.09	9.09	8.96	6.85	6.31	6.37	6.37	4.81	4.75	4.65	2.79	2.79	2.89	2.99	4.23	3.97	3.97	4.64	4.18	3.81	1.95	1.95	3.06	2.45	4.20	7.17	7.17	0.00	0.00	0.00	0.00	0.00	0.00
