CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	 2006	 2005
Doanh thu thuần###Net Sales	51170	9812	330006	88070	114951	41801	85216	290305	109977	43444	101091	35792	542239	105560	53909	202565	177285	557042	230385	114991	146086	65580	477037	101712	166511	139895	69064	506827	205335	92226	156314	52952	462149	191254	90777	144721	35397	350829	53578	107761	93634	95855	501469	255600	100194	109531	79174	473613	234828	110591	71621	78003	340094	98753	76253	89697	76643	299102	168614	32351	37259	62025	278899	190771	182391	137749
Giá vốn hàng bán###Cost of goods sold	19821	6926	215439	43958	72590	35212	63679	234507	104046	31998	89035	14482	457728	90623	34007	180184	149637	433356	178802	81461	123028	50066	390277	49291	148745	131710	62105	461989	190650	84057	136637	50645	424045	172948	85102	131145	34850	285835	53322	83533	70174	75753	407904	145631	85847	82871	67665	348164	160943	98113	55243	66861	297052	81755	67489	81917	66676	277900	166023	29925	31163	51753	240375	179498	168392	125677
Lợi nhuận gộp###Gross profit	31350	2886	114566	44113	42361	6589	21537	55798	5931	11446	12057	21311	84511	14936	19902	22381	27648	123686	51584	33530	23058	15514	86760	52421	17766	8185	6959	44838	14686	8169	19678	2306	38103	18305	5675	13577	547	64994	256	24228	23460	20102	93565	109968	14346	26660	11508	125449	73885	12478	16378	11142	43042	16998	8764	7781	9967	21202	2591	2426	6096	10272	38524	11273	13999	0
Doanh thu hoạt động tài chính###Financial activities Revenues	248	545	1292	98	425	399	370	7606	3264	752	548	3043	5780	423	478	1891	461	2691	748	840	627	476	6740	-6	2926	2493	1327	1795	926	125	719	26	2115	19	7	456	1633	4217	149	107	1181	2781	18761	1626	3899	5412	3800	15237	3890	3182	4011	3743	8645	0	4749	2561	3071	29397	21418	5599	1595	559	6789	6487	225	0
Chi phí tài chính###Financial Expenses	3517	464	4516	1464	1199	1100	753	4381	2824	453	57	1047	8750	1384	1878	2447	383	1830	1348	303	173	5	0	0	0	0	0	2572	289	42	2193	47	2180	-792	1268	1268	436	11964	3202	1286	3253	4223	25659	61453	4234	10168	0	21895	12018	3096	6161	0	197	3616	0	0	0	0	0	0	0	0	1	26	0	0
Chi phí bán hàng###Selling Expenses	179	0	1906	512	966	135	294	1227	705	521	0	0	659	381	0	0	279	942	370	129	49	395	1403	195	285	409	513	1722	752	127	489	353	2490	1674	296	306	214	1438	269	445	541	183	1263	8945	1222	437	707	3500	1273	0	1531	696	1433	858	265	353	111	549	488	71	0	142	566	573	802	0
Chi phí quản lý doanh nghiệp###Managing Expenses	16549	4746	45083	15471	11129	11744	6717	29920	10373	6770	5660	7116	29271	11953	6924	6622	4163	30523	7174	8478	9435	5437	40434	27464	4634	5233	3551	21145	7064	3470	8497	2114	18707	10308	2138	3248	2658	30006	4294	18694	4257	2761	18702	19359	3949	4022	2585	13521	6482	2639	2273	2547	10322	3500	1998	457	2909	8266	3255	1692	1562	1653	6765	3408	5122	0
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	11354	-1778	64353	26765	29492	-5991	14143	27875	-4708	4453	6887	16190	51611	1641	11578	15204	23284	93082	43440	25460	14028	10154	51663	24756	15773	5036	4221	21195	7506	4654	9218	-182	16842	7135	1980	9212	-1128	25803	-7360	3910	16590	15716	66702	21837	8840	17445	12016	101771	58002	9925	10424	11643	39734	9025	11249	9531	10017	41784	20267	6262	6129	9036	37981	13752	8300	6273
Thu nhập khác###Other incomes	-189	2509	2120	389	44	2034	17	1942	5499	165	109	0	3060	317	701	-5484	8000	1575	290	33	810	442	3985	1969	964	703	350	1394	680	42	105	567	5373	1108	14	3928	323	364	131	227	6	0	1377	3839	1	1007	370	24013	857	727	375	365	1435	1167	97	171	0	447	92	0	104	251	-11697	109	78	0
Chi phí khác###Other Expenses	13	40	1206	1425	82	50	15	1087	-149	969	147	32	249	2	1	-5483	6202	501	157	78	239	27	565	334	226	1	5	163	-2	24	19	122	3296	114	5	3035	141	201	21	158	22	0	759	362	10	734	0	33366	83	8	6	0	34	31	0	3	0	89	5	0	84	0	48	50	0	0
Lợi nhuận khác###Other profits	-202	2469	913	-1036	-38	1984	3	855	5648	-804	-38	-32	2811	315	700	-1	1798	1073	133	-45	570	415	3420	1635	738	702	345	1230	682	18	85	445	2077	993	9	893	182	164	109	69	-15	0	618	3477	-9	272	370	-9353	774	719	369	365	1401	1136	97	168	0	358	87	0	20	251	-11746	59	78	53
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	11152	691	65266	25729	29454	-4007	14146	28731	940	3649	6849	16159	54422	1956	12278	15203	25082	94155	43573	25415	14598	10568	55083	26391	16511	5738	4566	22425	8188	4672	9303	262	18919	8128	1989	10105	-947	25966	-7251	3979	16574	15716	67320	28212	8831	17717	12386	92418	13578	10644	10793	12007	41135	10160	11346	9700	10017	42142	20354	6262	6149	9286	26235	13811	8378	6326
Chi phí thuế TNDN###Corporate Income Tax Expenses	3229	315	14153	5588	6302	-409	2706	6799	261	616	1370	3232	10919	372	2464	3053	5015	18827	8712	5085	2905	2126	12118	5808	3631	1262	1004	4849	1866	971	1957	55	4255	1461	1059	0	0	6411	0	0	0	6366	15750	7197	1655	4503	3097	22989	3489	2661	2698	3002	10198	2681	2837	2407	2504	11733	5699	1753	1722	2600	5523	1941	1187	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	3446	315	15275	5659	6708	236	2706	7276	529	616	1370	3232	10919	372	2464	3053	5015	18827	8712	5085	2905	2126	12118	5808	3631	1262	1004	4849	1866	971	1957	55	4255	1461	1059	1824	0	6411	-2607	982	1670	6366	15750	7050	1655	4429	3097	22989	3489	2661	2698	3002	10198	2681	2837	2407	2504	11733	5699	1753	1722	2600	5523	1942	1187	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	-217	0	-1122	-71	-406	-645	0	-477	-267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-5905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	7919	423	51945	20230	23778	-3537	11493	22787	1358	3034	5479	12927	43506	1660	9791	12120	20069	75352	34861	20330	11694	8443	42965	20583	12880	4476	3562	17576	6322	3700	7347	207	14664	6667	930	8281	-947	19555	-4644	2998	14905	9350	51570	27068	7176	13288	9290	69429	10089	7983	8095	9006	30937	7479	8510	7293	7513	30408	14655	4509	4427	6686	20712	11869	7191	5441
---Cac Chi So Tai Chinh---																																																																		
EBITDA	0.42	0.24	0.59	0.59	0.36	0.34	0.16	0.26	0.26	0.26	0.39	0.85	1.04	1.04	0.82	-0.02	0.65	0.54	0.54	0.41	0.54	0.81	1.05	1.05	0.74	0.59	-0.09	-0.09	-0.09	0.10	0.07	0.38	0.17	0.17	0.39	0.42	0.31	0.33	0.33	0.38	0.31	0.32	0.25	0.25	0.36	0.50	0.31	0.43	0.43	0.32	0.66	0.95	0.94	0.94	1.09	1.02	0.90	1.00	1.00	1.00	0.75	1.05	2.14	2.14	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	15.80	15.50	16.50	16.50	15.02	15.15	14.57	15.93	15.93	11.91	11.91	11.85	11.59	11.59	12.17	15.09	19.86	17.18	17.18	17.23	16.04	14.51	10.11	10.11	10.18	5.10	2.57	2.77	2.77	2.23	2.33	2.20	1.68	1.68	1.83	1.83	1.54	1.54	1.54	2.04	2.34	3.62	2.76	2.76	3.41	4.34	6.02	6.05	6.05	7.53	9.57	8.50	7.90	7.90	9.97	2.98	1.99	2.37	2.37	2.54	1.86	3.81	9.54	9.54	0.00	0.00
