CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q2 2014	 2013	 2012	 2011
Lợi nhuận gộp###Gross profit	232742	108140	735827	228822	211360	196139	99099	839753	159652	227050	278965	172744	1010305	272695	227398	328530	172325	904097	241841	244515	296168	125774	759506	198626	194458	244839	123830	680493	210345	118255	697889	553200	436564
Doanh thu hoạt động tài chính###Financial activities Revenues	1494	2177	7345	2743	2459	1367	813	13627	5610	5238	1895	891	5485	2320	876	1165	1125	6893	4034	1245	657	955	2511	1125	429	337	463	11956	4018	1620	8766	10811	19997
Chi phí tài chính###Financial Expenses	32088	22990	146317	42574	33448	41770	28776	139235	37535	29972	43946	27782	142252	46539	29215	41041	25458	124672	41993	24489	38724	19931	103337	31385	25784	27834	18007	106704	35184	28105	133800	178153	215147
Chi phí bán hàng###Selling Expenses	67233	55079	349663	106883	100213	101381	41182	301713	44425	92886	92371	68085	319929	121753	69749	81493	45026	252855	54398	84399	76768	38664	230404	51885	45672	86012	47675	169632	54430	29030	209310	116210	91404
Chi phí quản lý doanh nghiệp###Managing Expenses	46796	26090	129420	38024	30691	37128	23400	119869	25803	37329	32614	26427	132173	33791	38354	33325	22560	112400	35453	32533	28550	19053	91273	27686	26325	23395	15145	59967	17469	8126	44714	72450	39367
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	88119	6158	117772	44083	49467	17226	6554	292562	57498	72100	111929	51342	421437	72932	90957	173836	80406	421064	114031	104339	152783	49081	337002	88794	97106	107936	43465	356146	107279	54614	318832	197199	110642
Thu nhập khác###Other incomes	113	2773	20289	18773	187	602	747	21528	6202	1573	13205	548	18841	17943	289	69	541	3734	654	175	2270	1934	15502	3034	7792	4720	1278	40162	7756	27000	37319	8361	7036
Chi phí khác###Other Expenses	145	896	1382	745	124	236	151	1618	357	606	522	133	12714	7103	1673	414	438	4249	1721	764	2283	179	1478	-1922	3032	1058	79	29736	1809	25259	535	589	2170
Lợi nhuận khác###Other profits	-32	1876	18907	18029	63	366	596	19910	5845	967	12683	415	6127	10840	-1384	-345	103	-515	-1068	-589	-12	1755	14024	4956	4759	3662	1199	10427	5947	1741	36784	7772	4867
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	88087	8035	136679	62112	49530	17591	7150	312472	63343	73067	124612	51757	427564	83772	89573	173491	80509	420549	112963	103750	152771	50836	351026	93750	101865	111598	44664	366572	113227	56355	355616	204971	115509
Chi phí thuế TNDN###Corporate Income Tax Expenses	13414	3482	37424	23245	11073	5934	1791	59112	12590	14612	22070	9866	78507	13238	17325	31635	14795	70449	18326	20320	24401	7304	70792	14021	24182	23038	9729	78023	18951	12049	93932	46104	25092
Chi phí thuế TNDN###Corporate Income Tax Expenses	8308	3482	42531	23245	11073	5934	1791	59112	12590	14612	22070	9866	78507	13238	17325	31635	14795	70449	18326	20320	24401	7304	70792	14021	24182	23038	9729	76973	18730	11221	94982	46104	25092
Chi phí thuế TNDN###Corporate Income Tax Expenses	5107	0	-5107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1050	222	828	-1050	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	96573	1968	124506	51053	43599	16713	8317	313346	61750	69838	102541	49658	421140	88160	87629	172738	74417	423077	94637	83430	128370	43531	331503	79728	77683	88559	34935	347870	94275	44306	261684	158867	90417
---Cac Chi So Tai Chinh---																																	
EBITDA	0.83	0.44	0.59	0.59	0.63	0.76	0.51	0.45	0.45	0.31	0.27	0.05	-0.01	-0.01	0.69	0.57	0.58	0.88	0.88	0.65	0.77	0.84	-0.20	-0.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	11.50	9.45	10.63	10.63	13.50	17.54	21.48	22.63	22.63	22.52	22.19	27.40	26.26	26.26	29.76	30.65	24.87	21.26	21.26	26.43	18.16	15.58	14.07	14.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
