CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	 2006	 2005
Vốn chủ sở hữu ###Owners equity	3300746	3413039	3448686	3448686	3098388	3070544	2959432	2730553	2730553	2814753	2707702	2405470	2395890	2395890	2127669	1877784	1618294	1447136	1447136	1353266	1189255	1120166	998591	998591	956949	844865	841833	785567	785796	762450	1120728	1069607	1062118	1062118	1039548	1027186	1013160	1007135	999897	980442	964047	976423	1069171	1041886	1032975	998467	738758	741469	699203	436864	406024	366715	380918	381443	359499	332585	317453	299816	327254	312396	294120	203075	182336	172018	35211	0
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229	229	229	229	457	421	417	417	3887	7252	7278	7238	7238	7259	7268	20383	27285	27285	27526	27053	37449	39464	0	37401	35797	35297	35076	35372	28917	27433	27520	17717	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3077346	2690160	2766838	2766838	2608290	2592537	2568129	2647607	2647607	2705663	2688988	2858227	2698467	2698467	2604119	0	1795318	1476389	1483600	1299756	1216201	997264	982085	974054	687489	621317	605246	594302	584852	602658	584965	474311	471624	471624	383643	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	 2006	 2005
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	1129841	1375481	5568613	1563510	1473295	1399921	1131887	4522435	1306830	1063040	1186992	965573	4352524	1110293	1022279	1088959	1130994	3211965	991180	767585	739264	713936	2618278	783165	669089	637836	528187	2098540	584504	662463	529412	322161	1310783	309196	462386	281115	258085	964733	240829	255733	290142	178028	890449	256161	206290	193098	234900	810877	230880	193294	185747	191282	521355	152673	130736	145265	92681	371353	101836	90117	93593	87833	262634	69549	200940	0
Các khoản giảm trừ doanh thu###Deduction revenues	3119	7497	5850	0	80	5770	0	839	380	459	0	0	0	0	0	0	0	475	475	0	0	0	2113	2113	0	0	0	35027	0	0	0	35027	0	0	0	0	0	134	0	0	4	130	754	562	193	0	0	160	0	50	110	0	0	0	0	0	0	368	72	0	308	428	2565	634	1216	0
Doanh thu thuần###Net Sales	1126723	1367984	5562763	1563510	1473215	1394151	1131887	4521596	1306450	1062581	1186992	965573	4352524	1110293	1022279	1088959	1130994	3211490	990704	767585	739264	713936	2616165	781053	669089	637836	528187	2063513	584504	662463	529412	287134	1310783	309196	462386	281115	258085	964598	240829	255733	290138	177898	889694	255600	206097	193098	234900	810718	230880	193244	185637	191282	521355	152673	130736	145265	92681	370984	101764	90117	93284	87405	260070	68915	199723	133554
