CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q2 2006	 2005
Vốn chủ sở hữu ###Owners equity	41337	42398	43773	43773	44185	44887	46799	48129	48335	47557	48595	48425	48444	48444	47275	46800	46589	46238	46356	46083	45669	45272	45515	45464	45109	45418	45344	45403	45403	44739	44708	44254	44670	44670	47479	46932	49440	49836	49800	50207	49827	49744	54419	54446	51312	41927	37729	43650	43650	38984	35560	31852	29576	30774	30547	28559	26095	28984	29125	22488	20515	19760	16377	16527	15541	15302	13498	14811	15319	14290	14290	12749
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1016	623	1085	783	813	813	946	1101	519	0	522	397	432	0	0	0	321	321	517
Vốn chủ sở hữu ###Owners equity	41337	42398	43773	43773	44185	44887	46799	48129	48335	47557	48595	48425	48444	48444	47275	46800	46589	46238	46356	46083	45669	45272	45515	45464	45109	45418	45344	45403	45403	44739	44708	44254	44670	44670	47479	46932	49440	49836	49800	50207	49827	49744	54419	54446	51312	41927	37729	43650	43650	38984	35560	31852	29576	29758	29924	27474	25312	28171	28312	21542	19414	19242	16377	16005	15144	14871	13498	14811	15319	13969	13969	12231
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69363	71618	73236	73150	74784	80314	87432	88773	88773	85135	85027	81887	87176	87178	80175	79182	73513	76275	76275	71741	68556	61151	57527	57527	54136	50429	51626	43546	43648	41248	38819	38624	36560	36560	38830	41365	40225	39808	39808	40784	0	42619



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q2 2006	 2005
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	5280	3303	30800	8949	8088	9892	3871	30974	6590	5335	7939	11110	47306	16437	9929	11548	9393	58098	14196	11817	20833	11252	50571	15955	14010	14195	6411	53293	11247	11684	21632	8731	54575	9562	18179	17340	9494	58172	16728	15197	16509	9738	82640	15564	16554	30877	19646	79207	20976	22622	23337	12272	74775	15633	20859	22462	15821	60207	14349	14265	13763	17830	41503	13326	28178	17749	6727	33242	7708	7403	7403	32895
