CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	 2008	 2007
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	865	138	18955	4004	1395	7657	5898	47797	4212	9972	4030	21645	190165	167758	6212	11781	4415	59741	9945	131767	8083	1266	21192	1465	4497	12889	2341	16919	3671	6911	4017	2320	24573	2800	4744	16971	58	80030	8013	39	21002	55891	176495	52735	21519	42175	60067	70985	40956	39105	0	0	309	95978	0
Các khoản giảm trừ doanh thu###Deduction revenues	736	0	758	0	0	758	0	992	0	0	0	992	0	0	0	0	0	670	670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	129	138	18197	4004	1395	6900	5898	46805	4212	9972	4030	20653	190165	167758	6212	11781	4415	59071	9275	131767	8083	1266	21192	1465	4497	12889	2341	16919	3671	6911	4017	2320	24573	2800	4744	16971	58	80030	8013	39	21002	50976	176495	52735	21519	42175	60067	70985	40956	39105	0	0	309	0	0
Giá vốn hàng bán###Cost of goods sold	0	0	16632	3499	1350	6156	5627	40291	3743	8474	2470	18295	181759	163266	5347	9877	3269	50059	7512	122303	7308	127	15946	146	3147	11471	1182	13772	2662	5942	3156	2011	23548	2565	4549	16434	0	75630	7681	0	19262	48686	167908	49835	20430	40131	57512	68410	39273	37527	0	0	0	0	0
Lợi nhuận gộp###Gross profit	129	138	1565	505	45	744	271	6513	470	1498	1560	2358	8406	4492	865	1903	1146	9012	1763	9464	775	1140	5246	1318	1350	1418	1159	3147	1009	969	860	308	1025	236	194	537	58	4400	332	39	1740	2290	8588	2901	1089	2043	2555	2575	1683	1578	0	0	309	0	0
Doanh thu hoạt động tài chính###Financial activities Revenues	4353	5532	18914	2571	3164	-1580	14758	8429	5286	1735	1955	3352	12143	671	3703	4734	3035	13179	3552	3627	2845	3155	12126	4660	1480	2635	3350	15416	3646	3758	5324	2687	18599	5219	4805	4469	4473	21126	4834	3874	7554	4864	27952	5958	5592	12953	6350	64464	8057	14130	28785	7397	74571	95925	7131
Chi phí tài chính###Financial Expenses	232	308	15232	316	316	313	415	7039	528	432	257	254	1030	260	260	257	254	1888	257	260	827	257	9937	6908	260	4078	254	32885	3039	2255	3417	310	14562	-4346	2152	17862	2096	19176	2926	1578	11007	3666	16506	21497	0	1413	3246	3087	3087	0	0	0	3	0	1
Chi phí bán hàng###Selling Expenses	41	55	162	50	64	23	26	411	47	44	70	99	331	104	96	77	54	235	59	23	82	71	304	53	51	144	56	311	45	48	126	92	455	115	130	82	128	414	136	83	93	102	1235	117	388	363	367	491	441	51	0	0	0	0	0
Chi phí quản lý doanh nghiệp###Managing Expenses	1221	1709	7164	1417	1540	2486	1721	7586	2191	1714	1706	1894	8620	1896	2222	2361	2141	8429	2720	1433	1889	2578	9220	2931	2407	7778	2703	10140	2875	2185	2673	2406	10471	2851	2672	2683	2264	9933	2208	2226	2164	3335	14601	3515	3753	3686	3477	12015	3919	5685	2399	2322	8970	8208	1219
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	2989	3598	-2080	1294	1290	-3659	12868	-94	2990	1043	1483	3463	10568	2903	1990	3943	1732	11638	2280	11374	823	1388	-2090	-3914	113	-7947	1497	-24774	-1304	239	-32	187	-5864	6834	45	-15621	43	-3997	-104	26	-3969	51	4198	-16269	2540	9535	1815	51446	2292	9973	26386	5075	65907	87717	5911
