CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006
Vốn chủ sở hữu ###Owners equity	196754	148437	120139	126319	63767	58482	60388	59019	59900	23776	17907	15379	58408	79755	174382	173204	207483	132957	142042	166050	179664	180187	199978	199589	204570	219718	230825	227484	227484	221399	219787	218249	204118	205659	209473	209745	206061	222143	209838	210532	210487	211809	240322	226440	228680	226806	215433	232328	218786	208026	216387	225834	210556	209145	195584	196275	197818	189107	189556	206207	194871	180338	204770	204770	189769	169967	129595	100653
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15230	14777	14709	14723	8689	8689	12416	7583	3854	12305	12294	11411	12383	12586	13917	13978	14306	10764	10530	11374	0	11470	10976	10317	11560	11560	11122	10754	9732	9213	9213	9868	9795	8723	8374	8374	7872	0	0	8432
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2178782	2286917	2196046	2200291	2179691	2255688	2277897	2380071	2379263	2233236	2252327	2146366	2220290	2220223	2146087	2037469	1852952	1804162	1802695	1655061	1634862	1638909	1537211	1537211	1379915	1372259	1316059	1277573	1283440	1268891	1075103	1047288	1011414	1011414	0	0	0	926510



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	319812	400531	1373440	488978	299752	314010	270701	1145604	452367	261300	225566	202159	960108	242961	279216	263584	174347	1072442	336394	315204	237568	183276	913082	234193	223240	254462	208479	1288333	303982	273532	424204	286615	1258904	339686	208086	318811	392022	1600004	487254	357845	409284	345623	1630902	523463	369728	437992	299718	1418765	429523	314899	376722	273710	960632	352925	242406	215702	149599	744446	202142	187368	178901	168272	598848	197764	147545	127092	126448	490695
Các khoản giảm trừ doanh thu###Deduction revenues	3264	5539	8598	2624	1546	2075	2353	8562	3794	1150	2051	1567	2519	911	572	569	467	1457	545	87	47	778	2323	739	908	609	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1233	1228	5	0	0	32
Doanh thu thuần###Net Sales	316548	394993	1364842	486354	298206	311935	268347	1137041	448573	260150	223515	200592	957589	242049	278644	263015	173880	1070985	335849	315117	237521	182499	910758	233454	222332	253853	208411	1288333	303982	273532	424204	286615	1258904	339686	208086	318811	392022	1600004	487254	357845	409284	345623	1630898	523463	369728	437988	299718	1418765	429523	314899	376722	273710	960632	352925	242406	215702	149599	744446	202142	187368	178901	168272	597615	196535	147540	127092	126448	490663
Giá vốn hàng bán###Cost of goods sold	232867	360955	1205667	398293	280247	279633	247005	1057875	398439	247051	196453	211312	942345	358847	258068	207863	137139	950640	312062	256469	212076	170034	781746	205629	190888	220609	169463	1157078	296197	232123	381660	247099	1079181	289652	181448	268542	339274	1390629	439098	312069	350126	289336	1313990	441078	299720	343090	229972	1133322	335980	255461	312748	212162	733209	264990	189204	166780	112234	567439	159987	141073	129372	129881	460022	143825	115623	103946	96628	420702
Lợi nhuận gộp###Gross profit	83680	34037	159175	88061	17959	32301	21343	79167	50134	13099	27063	-10720	15244	-116798	20576	55152	36742	120346	23787	58648	25445	12465	129012	27825	31444	33244	38948	131255	7785	41409	42544	39517	179723	50035	26638	50269	52748	209376	48156	45776	59158	56287	316907	82386	70008	94898	69746	285443	93543	59438	63974	61549	227423	87935	53202	48922	37365	177006	42155	46295	49528	38391	137593	52710	31918	23147	29819	69962
Doanh thu hoạt động tài chính###Financial activities Revenues	1	3	991	2939	58	1	32	1245	558	25	5	25	536	569	68	15	17	4218	1223	968	1456	174	8629	288	518	5563	558	19309	16466	1682	238	923	7018	1167	1571	2286	1849	9664	3233	2263	-1834	6003	19234	2436	4990	7975	3833	22736	7294	1816	8298	6417	14397	4742	3246	3562	2847	20657	3132	3711	7029	10327	33722	13633	4628	10647	4814	32138
Chi phí tài chính###Financial Expenses	15416	11321	56711	17991	14164	16243	10281	57527	15994	12296	14443	14795	87259	35003	16872	17571	13121	79433	22571	18874	20186	17765	86031	27503	17301	20513	19344	88705	20130	22632	23000	22944	103646	32088	23394	24782	23239	115006	27091	24042	26343	37530	177009	52916	43605	47412	33076	126154	40539	24472	34950	25412	73638	28239	13516	15836	16046	85954	24408	19851	27207	18483	62228	25759	10412	17994	8063	41679
Chi phí bán hàng###Selling Expenses	605	1866	9312	2284	1593	2222	3214	32556	-1468	5678	14622	13724	107650	31459	-3296	64826	11875	65635	7260	48629	7328	2418	6110	1174	1082	1877	2156	10300	2545	2482	505	4768	16310	5007	3054	3502	4748	16552	5252	3396	3970	3935	34775	6940	6943	13616	7275	48094	12143	12352	13432	8972	38313	22645	4905	8213	2550	11704	2888	4740	2310	1766	13388	3231	3083	4452	2622	8621
Chi phí quản lý doanh nghiệp###Managing Expenses	8554	6942	21646	7408	3533	5296	5549	23307	5508	5511	4398	7889	43154	24370	5941	7682	5010	46893	19525	5893	9000	12475	48991	8753	12923	12857	13845	58027	15737	14102	15597	12590	68718	16697	2660	23599	25799	90714	25894	19942	23884	20994	92317	27690	21373	24826	18432	82700	28969	18340	17831	15799	61675	21335	14011	14065	12294	42058	9902	12689	12334	13763	49518	12916	15323	10497	10782	26715
